time,District,Party,Mandates,Percentage,validVotesPercentage,Votes
10/6/2019 18:56,Território Nacional,PPD/PSD.CDS-PP,99,36.83,38.24,1981459
10/6/2019 18:56,Território Nacional,PS,85,32.38,33.62,1742012
10/6/2019 18:56,Território Nacional,B.E.,19,10.22,10.61,549878
10/6/2019 18:56,Território Nacional,PCP-PEV,17,8.27,8.59,444955
10/6/2019 18:56,Território Nacional,PPD/PSD,5,1.51,1.56,81054
10/6/2019 18:56,Território Nacional,PAN,1,1.39,1.44,74752
10/6/2019 18:56,Território Nacional,PDR,0,1.13,1.18,60998
10/6/2019 18:56,Território Nacional,PCTP/MRPP,0,1.11,1.15,59838
10/6/2019 18:56,Território Nacional,L/TDA,0,0.72,0.75,39008
10/6/2019 18:56,Território Nacional,PNR,0,0.5,0.52,27141
10/6/2019 18:56,Território Nacional,MPT,0,0.42,0.43,22416
10/6/2019 18:56,Território Nacional,PTP-MAS,0,0.38,0.4,20709
10/6/2019 18:56,Território Nacional,NC,0,0.35,0.36,18722
10/6/2019 18:56,Território Nacional,PPM,0,0.28,0.29,14805
10/6/2019 18:56,Território Nacional,JPP,0,0.26,0.27,14204
10/6/2019 18:56,Território Nacional,PURP,0,0.26,0.27,13764
10/6/2019 18:56,Território Nacional,CDS-PP,0,0.14,0.15,7536
10/6/2019 18:56,Território Nacional,CDS-PP.PPM,0,0.07,0.07,3654
10/6/2019 18:56,Território Nacional,PPV/CDC,0,0.05,0.05,2659
10/6/2019 18:56,Território Nacional,PTP,0,0.03,0.03,1748
10/6/2019 18:56,Açores,PS,3,40.37,42.47,37869
10/6/2019 18:56,Açores,PPD/PSD,2,36.06,37.93,33826
10/6/2019 18:56,Açores,B.E.,0,7.81,8.22,7330
10/6/2019 18:56,Açores,CDS-PP.PPM,0,3.9,4.1,3654
10/6/2019 18:56,Açores,PCP-PEV,0,2.47,2.6,2320
10/6/2019 18:56,Açores,PAN,0,0.87,0.91,815
10/6/2019 18:56,Açores,NC,0,0.82,0.86,766
10/6/2019 18:56,Açores,PCTP/MRPP,0,0.64,0.67,601
10/6/2019 18:56,Açores,PDR,0,0.54,0.57,511
10/6/2019 18:56,Açores,PURP,0,0.37,0.39,346
